CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,1,77183.6,0
12347.0,2,7,4310.000000000001,3
12348.0,75,4,1797.24,3
12349.0,19,1,1757.5500000000002,3
12350.0,310,1,334.40000000000003,1
12352.0,36,8,2506.0400000000004,3
12353.0,204,1,89.0,1
12354.0,232,1,1079.3999999999999,1
12355.0,214,1,459.4,1
12356.0,23,3,2811.43,3
12357.0,33,1,6207.67,3
12358.0,2,2,1168.06,3
12359.0,58,4,6372.58,3
12360.0,52,3,2662.06,3
12361.0,287,1,189.89999999999998,1
12362.0,3,10,5226.23,3
12363.0,110,2,552.0,3
12364.0,8,4,1313.1000000000001,3
12365.0,291,2,641.3799999999999,1
12367.0,4,1,168.89999999999998,3
12370.0,51,4,3545.6899999999996,3
12371.0,45,2,1887.96,3
12372.0,72,3,1298.0400000000002,3
12373.0,311,1,364.6,1
12374.0,25,1,742.93,3
12375.0,11,2,457.5,3
12377.0,315,2,1628.12,1
12378.0,130,1,4008.62,3
12379.0,82,2,852.24,3
12380.0,22,4,2724.8100000000004,3
12381.0,5,5,1845.3100000000004,3
12383.0,185,5,1850.5600000000002,1
12384.0,29,2,585.2700000000001,3
12386.0,338,2,401.9,1
12388.0,16,6,2780.6600000000003,3
12390.0,80,1,549.84,3
12391.0,22,1,460.89,3
12393.0,72,4,1582.6000000000001,3
12394.0,64,2,1272.48,3
12395.0,19,12,3018.63,3
12397.0,36,2,2409.9000000000005,3
12398.0,46,1,1635.6599999999999,3
12399.0,119,4,1108.65,3
12401.0,303,1,84.3,1
12402.0,323,1,225.6,1
12403.0,50,1,427.7,3
12405.0,149,1,1710.3900000000003,1
12406.0,22,2,3415.3,3
12407.0,50,5,1708.1199999999997,3
12408.0,33,5,2888.55,3
12409.0,79,3,11072.67,3
12410.0,309,2,693.3299999999999,1
12412.0,75,3,1226.88,3
12413.0,67,3,758.1,3
12414.0,217,3,562.41,1
12415.0,24,21,124914.53,2
12417.0,3,9,3649.1000000000004,3
12418.0,113,1,668.58,3
12420.0,64,1,600.3900000000001,3
12421.0,16,4,807.0400000000001,3
12422.0,96,3,803.5599999999998,3
12423.0,1,8,1859.31,3
12424.0,163,2,1760.9599999999996,1
12425.0,78,1,777.1999999999999,3
12426.0,195,1,582.73,1
12427.0,22,3,825.8,3
12428.0,26,9,7956.46,3
12429.0,9,4,3750.4,3
12430.0,43,1,256.4,3
12431.0,36,15,6487.45,0
12432.0,43,5,5059.319999999999,3
12433.0,1,7,13375.87,3
12434.0,85,2,806.14,3
12435.0,80,2,7829.890000000001,3
12436.0,100,1,509.01000000000005,3
12437.0,2,18,4951.41,0
